transaction_id,transaction_id_num,user_id,user_id_num,product_id,amount,payment_method,status,event_time
T121,121,U662,662,P5,15,credit card,failed,2023-09-05
T122,122,U620,620,P7,20,no payment,failed,2023-09-22
T123,123,U783,783,P0,0,credit card,success,2023-03-20
T124,124,U724,724,P7,20,credit card,success,2023-06-11
T125,125,U483,483,P6,12,credit card,failed,2023-09-27
T129,129,U191,191,P5,15,upi,success,2023-01-10
T130,130,U516,516,P4,60,net banking,success,2023-12-04
T131,131,U191,191,P4,60,net banking,success,2023-05-22
T132,132,U629,629,P9,0,upi,success,2023-03-23
T133,133,U551,551,P7,20,no payment,success,2023-10-13
T134,134,U115,115,P10,18,upi,success,2023-11-22
T135,135,U646,646,P9,0,upi,success,2023-03-07
T136,136,U550,550,P8,30,debit card,success,2023-03-31
T137,137,U501,501,P9,0,upi,success,2023-07-13
T138,138,U702,702,P4,60,upi,success,2023-01-26
T139,139,U281,281,P0,0,credit card,success,2023-06-26
T140,140,U426,426,P6,12,net banking,success,2023-05-06
T141,141,U713,713,P9,0,upi,success,2023-12-29
T142,142,U676,676,P1,0,upi,success,2023-04-23
T143,143,U376,376,P9,0,no payment,success,2023-07-01
T144,144,U41,41,P9,0,upi,success,2023-10-20
T145,145,U598,598,P0,0,debit card,success,2023-02-26
T146,146,U127,127,P2,10,no payment,success,2023-11-15
T147,147,U62,62,P9,0,upi,success,2023-01-12
T148,148,U432,432,P4,60,debit card,failed,2023-05-07
T149,149,U779,779,P3,25,net banking,pending,2023-07-14
T150,150,U65,65,P1,0,upi,success,2023-11-29
T151,151,U588,588,P2,10,net banking,success,2023-05-13
T152,152,U559,559,P7,20,upi,success,2023-10-08
T153,153,U26,26,P0,0,no payment,success,2023-10-11
T154,154,U406,406,P2,10,no payment,success,2023-12-23
T155,155,U232,232,P4,60,no payment,failed,2023-06-29
T156,156,U505,505,P0,0,credit card,success,2023-11-03
T157,157,U669,669,P1,0,debit card,success,2023-02-12
T158,158,U492,492,P8,30,upi,pending,2023-02-03
T159,159,U87,87,P9,0,net banking,pending,2023-07-18
T160,160,U665,665,P1,0,net banking,failed,2023-04-06
T161,161,U730,730,P6,12,upi,success,2023-07-27
T162,162,U648,648,P2,10,credit card,success,2023-02-04
T163,163,U362,362,P2,10,credit card,success,2023-01-09
T164,164,U142,142,P4,60,credit card,success,2023-06-27
T165,165,U432,432,P3,25,upi,success,2023-08-12
T166,166,U701,701,P4,60,no payment,failed,2023-11-28
T167,167,U190,190,P10,18,no payment,success,2023-06-02
T168,168,U404,404,P6,12,upi,success,2023-08-30
T169,169,U704,704,P4,60,no payment,success,2023-03-14
T170,170,U318,318,P0,0,credit card,success,2023-02-18
T171,171,U618,618,P6,12,no payment,success,2023-05-25
T172,172,U233,233,P5,15,upi,success,2023-06-20
T173,173,U553,553,P2,10,no payment,failed,2023-07-01
T174,174,U551,551,P9,0,no payment,success,2023-11-14
T175,175,U397,397,P0,0,no payment,success,2023-11-15
T176,176,U557,557,P0,0,no payment,success,2023-03-18
T177,177,U168,168,P0,0,upi,success,2023-11-03
T178,178,U332,332,P7,20,debit card,success,2023-02-01
T179,179,U268,268,P2,10,no payment,success,2023-05-20
T180,180,U240,240,P9,0,debit card,success,2023-04-02
T181,181,U301,301,P6,12,upi,success,2023-05-30
T182,182,U602,602,P8,30,net banking,success,2023-12-11
T183,183,U520,520,P6,12,debit card,success,2023-12-28
T184,184,U174,174,P9,0,upi,success,2023-06-29
T185,185,U689,689,P5,15,net banking,failed,2023-02-10
T186,186,U658,658,P3,25,no payment,success,2023-12-27
T187,187,U485,485,P9,0,upi,success,2023-02-28
T189,189,U332,332,P8,30,net banking,success,2023-05-07
T190,190,U378,378,P4,60,credit card,success,2023-09-15
T191,191,U202,202,P7,20,no payment,success,2023-04-18
T192,192,U266,266,P2,10,no payment,success,2023-07-19
T193,193,U713,713,P3,25,debit card,success,2023-10-21
T194,194,U540,540,P4,60,no payment,pending,2023-08-28
T195,195,U84,84,P10,18,debit card,success,2023-10-03
T196,196,U268,268,P1,0,net banking,success,2023-11-03
T197,197,U357,357,P1,0,credit card,success,2024-01-01
T198,198,U574,574,P3,25,net banking,success,2023-03-22
T199,199,U49,49,P8,30,credit card,success,2023-03-01
T200,200,U375,375,P1,0,upi,success,2023-10-17
T201,201,U73,73,P6,12,net banking,success,2023-09-12
T202,202,U30,30,P8,30,upi,success,2023-01-16
T203,203,U172,172,P4,60,credit card,success,2023-04-17
T204,204,U41,41,P10,18,debit card,pending,2023-08-16
T205,205,U23,23,P0,0,net banking,success,2023-12-16
T206,206,U672,672,P9,0,net banking,failed,2023-02-11
T207,207,U380,380,P5,15,debit card,success,2023-09-28
T208,208,U440,440,P3,25,debit card,failed,2023-05-06
T209,209,U668,668,P10,18,no payment,success,2023-09-12
T210,210,U196,196,P5,15,no payment,success,2023-07-24
T211,211,U419,419,P10,18,credit card,success,2023-12-17
T212,212,U325,325,P1,0,net banking,success,2023-07-10
T213,213,U628,628,P10,18,debit card,success,2023-07-13
T214,214,U31,31,P6,12,debit card,success,2023-04-11
T216,216,U563,563,P0,0,no payment,success,2023-11-15
T217,217,U542,542,P9,0,upi,success,2023-08-13
T218,218,U549,549,P7,20,debit card,success,2023-08-17
T219,219,U708,708,P5,15,net banking,failed,2023-02-10
T220,220,U489,489,P1,0,net banking,success,2023-10-22
T221,221,U674,674,P6,12,upi,success,2023-07-03
T222,222,U379,379,P8,30,no payment,success,2023-06-28
T223,223,U343,343,P0,0,credit card,success,2023-04-05
T224,224,U416,416,P9,0,net banking,success,2023-09-06
T225,225,U109,109,P1,0,credit card,pending,2023-01-04
T226,226,U383,383,P7,20,no payment,success,2023-09-19
T227,227,U499,499,P10,18,upi,success,2023-07-09
T228,228,U385,385,P0,0,no payment,success,2023-02-24
T229,229,U111,111,P6,12,debit card,success,2023-11-09
T230,230,U761,761,P2,10,no payment,pending,2023-11-07
T231,231,U165,165,P3,25,upi,success,2023-05-10
T232,232,U117,117,P4,60,upi,failed,2023-12-24
T234,234,U140,140,P8,30,upi,success,2023-09-20
T235,235,U758,758,P0,0,debit card,success,2023-11-27
T236,236,U517,517,P0,0,credit card,success,2023-10-26
T237,237,U184,184,P5,15,no payment,success,2023-12-11
T238,238,U20,20,P7,20,upi,failed,2023-03-19
T239,239,U304,304,P1,0,credit card,success,2023-03-05
T241,241,U102,102,P4,60,no payment,success,2023-07-08
T243,243,U163,163,P3,25,credit card,success,2023-01-16
T244,244,U116,116,P6,12,debit card,success,2023-06-21
T245,245,U147,147,P0,0,net banking,success,2023-09-19
T246,246,U575,575,P0,0,upi,success,2023-05-06
T247,247,U83,83,P9,0,debit card,success,2023-12-22
T248,248,U443,443,P3,25,credit card,success,2023-12-12
T249,249,U480,480,P5,15,no payment,pending,2023-05-27
T250,250,U22,22,P2,10,credit card,success,2023-05-12
T251,251,U726,726,P6,12,no payment,success,2023-08-07
T252,252,U681,681,P7,20,debit card,success,2023-08-19
T253,253,U664,664,P5,15,debit card,success,2023-01-30
T254,254,U547,547,P1,0,credit card,pending,2023-02-09
T255,255,U163,163,P7,20,credit card,success,2023-04-15
T256,256,U794,794,P1,0,no payment,success,2023-11-18
T257,257,U292,292,P9,0,upi,failed,2023-11-01
T258,258,U265,265,P6,12,credit card,pending,2023-05-11
T259,259,U491,491,P6,12,upi,failed,2023-11-02
T260,260,U384,384,P1,0,upi,failed,2023-04-07
T261,261,U584,584,P8,30,upi,success,2023-04-02
T262,262,U685,685,P4,60,debit card,failed,2023-05-10
T263,263,U358,358,P7,20,debit card,pending,2023-07-17
T264,264,U746,746,P2,10,upi,success,2023-08-03
T265,265,U450,450,P9,0,upi,success,2023-03-22
T266,266,U508,508,P0,0,debit card,success,2023-08-04
T267,267,U290,290,P5,15,no payment,success,2023-12-11
T268,268,U611,611,P8,30,net banking,success,2023-12-01
T269,269,U670,670,P9,0,credit card,failed,2023-12-23
T270,270,U337,337,P0,0,upi,success,2023-06-12
T271,271,U178,178,P5,15,debit card,success,2023-08-20
T272,272,U408,408,P5,15,upi,success,2023-02-26
T273,273,U59,59,P9,0,upi,success,2023-05-14
T274,274,U471,471,P4,60,upi,success,2023-08-30
T275,275,U12,12,P9,0,upi,success,2023-08-05
T276,276,U290,290,P5,15,no payment,success,2023-01-29
T277,277,U154,154,P9,0,credit card,failed,2023-12-04
T278,278,U726,726,P2,10,credit card,pending,2023-03-31
T279,279,U88,88,P0,0,debit card,success,2023-04-26
T280,280,U390,390,P3,25,no payment,success,2023-07-26
T281,281,U428,428,P0,0,no payment,success,2023-02-16
T282,282,U708,708,P4,60,credit card,success,2023-02-25
T283,283,U83,83,P10,18,debit card,success,2023-11-28
T284,284,U177,177,P3,25,no payment,success,2023-11-20
T285,285,U624,624,P8,30,debit card,success,2023-07-07
T286,286,U729,729,P2,10,credit card,success,2023-07-17
T287,287,U533,533,P9,0,upi,success,2023-12-02
T288,288,U293,293,P5,15,no payment,success,2023-03-02
T289,289,U101,101,P0,0,debit card,success,2023-08-17
T290,290,U304,304,P3,25,upi,success,2023-04-13
T291,291,U768,768,P1,0,credit card,success,2023-05-29
T292,292,U397,397,P3,25,net banking,success,2023-05-25
T293,293,U173,173,P10,18,no payment,success,2023-09-22
T294,294,U162,162,P4,60,no payment,success,2023-01-10
T296,296,U565,565,P3,25,credit card,success,2023-01-03
T297,297,U44,44,P2,10,credit card,success,2023-01-16
T298,298,U240,240,P9,0,no payment,success,2023-12-24
T299,299,U586,586,P2,10,no payment,failed,2023-06-03
T300,300,U677,677,P6,12,debit card,success,2023-03-28
T301,301,U102,102,P4,60,debit card,success,2023-09-29
T302,302,U138,138,P3,25,net banking,failed,2023-10-16
T304,304,U465,465,P2,10,debit card,pending,2023-11-03
T305,305,U698,698,P2,10,no payment,success,2023-12-22
T306,306,U693,693,P3,25,no payment,success,2023-12-31
T307,307,U734,734,P5,15,net banking,failed,2023-04-04
T308,308,U674,674,P1,0,net banking,success,2023-03-17
T309,309,U33,33,P3,25,net banking,success,2023-12-14
T310,310,U55,55,P7,20,credit card,success,2023-03-07
T311,311,U12,12,P4,60,no payment,success,2023-08-15
T312,312,U720,720,P3,25,credit card,success,2023-04-26
T313,313,U484,484,P6,12,credit card,success,2023-05-27
T314,314,U307,307,P3,25,net banking,success,2023-10-20
T315,315,U331,331,P0,0,credit card,success,2023-03-18
T316,316,U45,45,P1,0,no payment,success,2023-07-13
T317,317,U214,214,P1,0,no payment,pending,2023-08-27
T318,318,U59,59,P3,25,credit card,pending,2023-09-08
T319,319,U489,489,P7,20,no payment,success,2023-07-21
T320,320,U412,412,P2,10,upi,success,2023-12-22
T321,321,U800,800,P6,12,credit card,success,2023-11-13
T322,322,U540,540,P6,12,net banking,failed,2023-09-06
T323,323,U233,233,P6,12,net banking,success,2023-11-09
T324,324,U571,571,P0,0,no payment,success,2023-03-31
T325,325,U441,441,P10,18,no payment,success,2023-03-09
T326,326,U25,25,P2,10,net banking,success,2023-05-09
T327,327,U394,394,P1,0,upi,success,2023-08-04
T328,328,U301,301,P4,60,net banking,success,2023-09-26
T329,329,U687,687,P0,0,credit card,success,2023-07-24
T330,330,U564,564,P8,30,net banking,success,2023-02-18
T331,331,U216,216,P3,25,debit card,success,2023-04-16
T332,332,U242,242,P9,0,upi,success,2023-11-02
T333,333,U5,5,P9,0,upi,success,2023-09-01
T334,334,U566,566,P4,60,net banking,success,2023-10-12
T335,335,U122,122,P8,30,debit card,success,2023-12-31
T336,336,U428,428,P10,18,credit card,success,2023-02-08
T337,337,U161,161,P10,18,net banking,success,2023-01-10
T338,338,U582,582,P2,10,credit card,success,2023-10-31
T339,339,U446,446,P10,18,debit card,success,2023-10-27
T340,340,U601,601,P5,15,net banking,success,2023-04-19
T341,341,U19,19,P8,30,net banking,success,2023-06-02
T343,343,U354,354,P2,10,net banking,success,2023-09-20
T344,344,U247,247,P8,30,debit card,success,2023-03-05
T345,345,U362,362,P1,0,net banking,success,2023-08-01
T346,346,U478,478,P10,18,no payment,success,2023-10-21
T347,347,U593,593,P5,15,debit card,success,2023-11-10
T348,348,U44,44,P3,25,upi,success,2023-02-18
T349,349,U322,322,P5,15,credit card,success,2023-01-21
T350,350,U155,155,P5,15,debit card,failed,2023-07-10
T351,351,U740,740,P3,25,upi,success,2023-11-23
T352,352,U438,438,P1,0,upi,success,2023-01-31
T353,353,U667,667,P5,15,debit card,success,2023-06-25
T354,354,U603,603,P7,20,upi,success,2023-12-23
T355,355,U274,274,P6,12,upi,success,2023-07-28
T356,356,U116,116,P10,18,no payment,success,2023-10-18
T357,357,U324,324,P1,0,net banking,success,2023-04-22
T358,358,U315,315,P0,0,no payment,success,2023-11-02
T359,359,U715,715,P2,10,net banking,success,2023-11-06
T360,360,U105,105,P4,60,upi,success,2023-08-18
T361,361,U401,401,P5,15,no payment,success,2023-03-10
T362,362,U580,580,P3,25,no payment,success,2023-11-20
T363,363,U256,256,P8,30,credit card,success,2023-12-12
T364,364,U661,661,P6,12,no payment,success,2023-08-12
T365,365,U588,588,P7,20,net banking,pending,2023-03-24
T366,366,U405,405,P8,30,credit card,success,2023-12-25
T367,367,U132,132,P0,0,debit card,success,2023-10-19
T368,368,U791,791,P10,18,credit card,success,2023-05-13
T370,370,U553,553,P5,15,upi,success,2023-01-25
T371,371,U494,494,P2,10,no payment,success,2023-06-24
T372,372,U189,189,P3,25,credit card,success,2023-11-13
T374,374,U181,181,P4,60,no payment,success,2023-02-10
T375,375,U248,248,P6,12,no payment,success,2023-01-01
T376,376,U581,581,P3,25,upi,success,2023-11-15
T377,377,U650,650,P8,30,no payment,success,2023-10-09
T378,378,U515,515,P8,30,no payment,success,2023-06-21
T379,379,U751,751,P10,18,net banking,success,2023-10-28
T380,380,U702,702,P10,18,debit card,success,2023-01-29
T381,381,U411,411,P9,0,credit card,success,2023-11-20
T382,382,U496,496,P8,30,debit card,success,2023-09-26
T383,383,U47,47,P0,0,upi,success,2023-03-15
T384,384,U740,740,P5,15,credit card,success,2023-08-10
T385,385,U551,551,P6,12,debit card,success,2023-11-02
T386,386,U753,753,P3,25,upi,success,2023-05-31
T387,387,U10,10,P2,10,no payment,success,2023-08-29
T388,388,U726,726,P1,0,no payment,failed,2023-03-05
T389,389,U505,505,P9,0,no payment,failed,2023-10-15
T390,390,U560,560,P2,10,no payment,success,2023-06-04
T391,391,U635,635,P9,0,credit card,success,2023-05-29
T392,392,U783,783,P2,10,no payment,success,2023-11-21
T393,393,U378,378,P10,18,credit card,success,2023-04-18
T394,394,U509,509,P9,0,credit card,success,2023-05-24
T395,395,U593,593,P10,18,debit card,success,2023-11-02
T396,396,U73,73,P8,30,no payment,failed,2023-11-12
T397,397,U337,337,P5,15,net banking,failed,2023-12-14
T399,399,U419,419,P2,10,net banking,success,2023-03-25
T400,400,U193,193,P1,0,no payment,pending,2023-09-21
T401,401,U283,283,P9,0,credit card,success,2023-03-04
T402,402,U716,716,P4,60,no payment,failed,2023-05-14
T403,403,U555,555,P5,15,no payment,success,2023-02-21
T404,404,U428,428,P7,20,no payment,success,2023-10-11
T405,405,U451,451,P5,15,no payment,success,2023-04-19
T406,406,U126,126,P8,30,debit card,success,2023-10-22
T407,407,U559,559,P10,18,debit card,success,2023-05-05
T408,408,U526,526,P2,10,credit card,failed,2023-02-03
T409,409,U404,404,P7,20,credit card,success,2023-12-15
T410,410,U392,392,P10,18,net banking,success,2023-09-27
T411,411,U518,518,P4,60,credit card,success,2023-05-17
T412,412,U412,412,P4,60,debit card,success,2023-03-22
T413,413,U583,583,P10,18,credit card,success,2023-12-07
T414,414,U778,778,P9,0,net banking,success,2023-10-26
T415,415,U345,345,P1,0,net banking,success,2023-01-12
T417,417,U586,586,P8,30,credit card,failed,2023-07-23
T420,420,U491,491,P9,0,credit card,success,2023-03-31
T421,421,U481,481,P9,0,debit card,success,2023-05-01
T422,422,U352,352,P5,15,debit card,success,2023-08-17
T423,423,U443,443,P3,25,credit card,success,2023-09-21
T424,424,U662,662,P3,25,no payment,success,2023-04-04
T426,426,U610,610,P5,15,no payment,success,2023-11-16
T427,427,U57,57,P9,0,upi,success,2023-11-01
T428,428,U83,83,P4,60,upi,pending,2023-07-29
T429,429,U650,650,P2,10,debit card,success,2023-10-17
T430,430,U420,420,P10,18,credit card,success,2023-02-01
T431,431,U46,46,P8,30,net banking,failed,2023-04-29
T432,432,U795,795,P4,60,credit card,failed,2023-02-17
T433,433,U54,54,P1,0,credit card,pending,2023-05-27
T434,434,U690,690,P9,0,upi,success,2023-11-22
T435,435,U409,409,P1,0,credit card,success,2023-04-16
T436,436,U644,644,P4,60,upi,success,2023-06-08
T437,437,U248,248,P2,10,credit card,success,2023-12-20
T438,438,U43,43,P0,0,net banking,success,2023-11-06
T439,439,U377,377,P3,25,no payment,failed,2023-05-01
T440,440,U480,480,P1,0,no payment,failed,2023-05-27
T441,441,U69,69,P4,60,debit card,success,2023-04-03
T442,442,U606,606,P9,0,net banking,success,2023-01-19
T443,443,U503,503,P10,18,credit card,success,2023-04-30
T444,444,U338,338,P7,20,net banking,success,2023-12-08
T445,445,U275,275,P8,30,credit card,success,2023-04-02
T446,446,U319,319,P5,15,net banking,success,2023-11-10
T447,447,U686,686,P2,10,net banking,success,2023-04-28
T449,449,U776,776,P10,18,net banking,success,2023-03-04
T450,450,U390,390,P0,0,debit card,success,2023-10-13
T451,451,U694,694,P10,18,credit card,success,2023-12-02
T452,452,U549,549,P2,10,upi,success,2023-11-24
T453,453,U568,568,P5,15,net banking,success,2023-05-17
T454,454,U570,570,P8,30,upi,success,2023-02-14
T455,455,U188,188,P1,0,no payment,success,2023-03-08
T456,456,U420,420,P3,25,upi,success,2023-08-02
T457,457,U92,92,P8,30,debit card,success,2023-05-19
T458,458,U512,512,P4,60,debit card,failed,2023-10-11
T459,459,U772,772,P0,0,no payment,success,2023-12-30
T460,460,U573,573,P7,20,debit card,success,2023-10-15
T461,461,U207,207,P8,30,credit card,success,2023-11-05
T462,462,U614,614,P5,15,debit card,success,2023-07-07
T463,463,U714,714,P6,12,net banking,success,2023-07-27
T464,464,U621,621,P2,10,debit card,failed,2023-12-18
T465,465,U69,69,P3,25,credit card,success,2023-06-17
T466,466,U312,312,P5,15,no payment,failed,2023-02-02
T467,467,U665,665,P3,25,debit card,success,2023-08-26
T468,468,U277,277,P10,18,credit card,success,2023-06-02
T469,469,U544,544,P3,25,net banking,success,2023-01-24
T471,471,U109,109,P6,12,upi,success,2023-06-05
T473,473,U457,457,P9,0,no payment,success,2023-09-07
T474,474,U677,677,P5,15,upi,success,2023-07-20
T475,475,U616,616,P1,0,upi,success,2023-06-05
T476,476,U450,450,P10,18,no payment,failed,2023-07-17
T477,477,U620,620,P10,18,upi,success,2023-06-16
T478,478,U606,606,P1,0,debit card,success,2023-02-14
T479,479,U638,638,P1,0,credit card,success,2023-03-07
T480,480,U634,634,P1,0,no payment,success,2023-12-31
T481,481,U674,674,P2,10,credit card,success,2023-05-12
T482,482,U247,247,P4,60,net banking,success,2023-03-10
T484,484,U412,412,P0,0,debit card,success,2023-07-26
T485,485,U584,584,P10,18,net banking,success,2023-03-27
T486,486,U354,354,P3,25,no payment,pending,2023-03-30
T487,487,U93,93,P4,60,debit card,pending,2023-07-28
T488,488,U239,239,P9,0,debit card,success,2023-12-19
T489,489,U245,245,P1,0,no payment,success,2023-07-21
T490,490,U71,71,P4,60,upi,success,2023-08-30
T491,491,U325,325,P8,30,credit card,success,2023-11-14
T492,492,U305,305,P6,12,no payment,success,2023-02-15
T493,493,U7,7,P2,10,upi,success,2023-05-18
T494,494,U57,57,P10,18,upi,success,2023-06-22
T495,495,U537,537,P5,15,net banking,pending,2023-10-26
T496,496,U765,765,P10,18,debit card,success,2023-07-16
T497,497,U387,387,P5,15,debit card,success,2023-10-26
T498,498,U144,144,P6,12,net banking,failed,2023-02-26
T499,499,U336,336,P5,15,net banking,failed,2023-10-08
T500,500,U425,425,P8,30,debit card,success,2023-06-26
T501,501,U57,57,P7,20,no payment,success,2023-02-04
T502,502,U194,194,P10,18,no payment,success,2023-09-06
T503,503,U736,736,P4,60,no payment,success,2023-11-29
T504,504,U648,648,P10,18,no payment,success,2023-05-08
T505,505,U116,116,P6,12,net banking,success,2023-02-16
T506,506,U221,221,P5,15,credit card,pending,2023-01-03
T507,507,U59,59,P9,0,credit card,success,2023-08-19
T508,508,U574,574,P2,10,debit card,success,2023-08-14
T509,509,U572,572,P0,0,credit card,success,2023-06-05
T510,510,U671,671,P1,0,no payment,success,2023-02-12
T511,511,U719,719,P10,18,net banking,success,2023-12-22
T512,512,U480,480,P9,0,no payment,success,2023-01-29
T513,513,U485,485,P3,25,upi,failed,2023-09-20
T515,515,U400,400,P1,0,upi,success,2023-07-10
T516,516,U789,789,P1,0,upi,failed,2023-04-28
T517,517,U490,490,P4,60,debit card,success,2023-11-29
T518,518,U574,574,P4,60,upi,success,2023-03-20
T519,519,U682,682,P4,60,credit card,success,2023-02-26
T520,520,U237,237,P7,20,credit card,success,2023-04-17
T521,521,U300,300,P4,60,upi,failed,2023-06-15
T522,522,U207,207,P6,12,debit card,success,2023-11-08
T523,523,U371,371,P0,0,upi,success,2023-06-19
T524,524,U658,658,P3,25,net banking,success,2023-05-15
T525,525,U239,239,P9,0,net banking,success,2023-12-06
T526,526,U222,222,P9,0,net banking,success,2023-06-30
